RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
1910,Madison County,Ohio,758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107900,106000,118500,116400,110200,88900,88200,84300,91100,83200,91800,93100,110100,119800,122300,102400,96700,97800,115600,114500,107200,104600,94800,100700,98500,113400,113000,113400,111700,118500,113700,114000,110200,124700,125200,128600,130500,123300,119400,109000,112000,112800,121600,129000,117400,113200,104600,118800,113200,118400,128400,139000,136100,128200,132700,141000,151800,147700,140600,129900,128100,136400,139000,147000,145500,148600,136300,125700,123400,134000,149000,147200,145600,137700,128800,123700,126900,125800,128200,127300,139700,135200,139700,142000,156000,155300,160200,161300,187900,191900,187000,153400,143500,147600,150300,157500,152400,166500,164800,168400,165200,160800,170800,157800,167900,160000,169800,164000,153700,151700
2015,Sanilac County,Michigan,759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88800,87700,83800,89100,91000,89700,84900,89000,92500,87400,74300,73000,83400,89700,90800,92200,94400,96100,92700,89600,99000,99500,97700,93600,99200,106600,99000,93300,95100,104800,110300,105200,
2713,Habersham County,Georgia,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88900,92300,97600,99300,87100,85600,85400,96500,93700,95200,93900,92800,86000,80800,83900,88900,92800,88900,85700,91600,98300,102900,95900,96200,102700,109200,109800,101800,91800,86800,88600,97800,105900,115100,113600,111800,115400,122800,124200,113700,108300,108300,113400,119600,121000,119900,122300,125400,125700,120500,119900,122100,124500,122700,124500,118600,116300,124100,131900,136700,129600,127200,131800,136500,140100,145400,141900,138300,132600,131700,135400,140000,143300,140700,137700,141000,146900,153200,156800,161100,159300,157900,157000,153800,151600,150900,153600,161600,165200,166600,159100,157100,159600,168200,172000,171400,166200,164000,165900,171500,
1497,Wilson County,Texas,761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291600,284600,263400,240000,218500,231600,230300,257100,239800,266200,253800,278800,267900,266400,274600,269900,287600,275500,274600,259900,252400,259000,265500,268500,268400,292100,305200,290100,275700,275800,296600,287700,293000,276300,276200,270100,278600,284200,263800,275400,266600,283400,280500,282900,295300,291900,297000,290500,283900,280500,271400,279000,281300,298300,299600,311900,306200,313300,310100,330100,343800,348200,294700,272500,269300,316700,322600,325800,310700,313900,307400,307700,331000,333400,334200,314100,305500,295300,285800,314500,329000,332000,320100,329100,363000,370000,339900,316100,287800,319000,314400,349200,349600,
1954,Orleans County,New York,762,74500,72300,78900,78100,65800,57500,59900,67400,74500,79300,75600,71200,65100,70000,71700,72700,73900,75500,75100,70800,68600,73900,79400,79100,74400,78700,83400,84100,82200,80700,80900,76400,76600,82400,81900,85600,80000,84700,83100,80200,80300,79400,86600,82500,79900,70500,68700,77200,92900,92100,85400,72700,84700,82000,91500,79000,79700,73500,80900,88800,88200,92500,90300,88400,83800,83900,85100,82800,78700,78500,81300,77600,78400,71000,71800,70900,71600,74100,74000,73100,73100,76500,79500,82000,78700,81300,81100,84700,82200,84000,82700,88600,91100,87700,82200,68800,69000,70000,80100,82800,81100,78700,84000,85800,84100,80300,82100,79500,82400,80900,84000,86000,89200,91300,84900,84000,86200,89000,89800,93400,99300,114400,113400,103100,94200,90800,96800,90000,91800,95900,92300,87100,94400,97100,107200,95600,93700,91000,
1926,Mecosta County,Michigan,763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900,75000,77200,82100,78500,76600,62700,68400,67900,79100,72500,71600,77900,76600,78100,75600,79600,78100,80400,79900,76300,73900,75800,81800,94500,92400,94200,82500,87600,89300,91800,90800,88600,97300,101000,107300,102700,107400,109000,109300,107200,108000,100900,98000,96500,95400,96200,97200,106800,107000,101100,96400,91100,96500,100300,114600,120800,124900,123000,118400,113900,112600,102600,109300,106600,121200,107100,98500,86800,94500,107800,114200,110600,106100,
2811,Muscatine County,Iowa,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115200,119800,119600,124700,137400,138500,140900,127800,130100,129400,126600,118000,118600,115000,120700,115200,126200,131600,132100,127700,124100,128000,124300,130900,127800,123500,127600,114500,128600,128300,145000,139900,126600,138400,140500,
1025,Fulton County,Ohio,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86000,89700,96000,94500,77300,79100,81900,86600,91800,97100,106400,106000,107200,96400,84800,80000,88700,91000,91200,94200,91900,94300,100100,108400,111100,102700,100800,102600,103500,102200,106200,109500,120000,118400,119400,109400,101500,109100,103200,111500,97200,109200,111400,118500,114600,112900,109800,110100,112400,112700,115300,110900,116900,111600,121300,116300,121700,115300,113800,116000,112800,117300,113200,121000,115800,120300,114000,116400,114400,121100,124600,123800,123200,128900,135400,137600,136100,133300,128700,121900,121500,125800,128000,125200,121800,127800,126300,124200,112500,132700,133700,138900,
801,Wayne County,West Virginia,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105700,104700,97500,90300,79000,71500,59700,63200,60900,67300,75200,79800,75400,71600,79900,88800,88400,74000,69500,76500,82800,81800,75200,77800,88600,80400,81600,76200,94500,102300,98000,96000,94300,105800,96700,86000,84500,91000,93500,89200,85200,85500,86200,86600,88400,103800,112200,114700,98700,
1731,Gratiot County,Michigan,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52500,55900,59100,66700,70300,75100,59800,60200,47400,47300,42800,49600,55500,52500,57600,56700,61100,60200,62900,62400,60200,64200,64400,70500,67900,71400,68800,66600,64000,60500,58700,57100,61600,66400,70500,70400,72600,70800,69900,74600,77800,80300,79200,71900,75800,72900,81300,79600,81300,89900,90000,94500,79500,70800,72500,83000,94000,85700,88200,88500,96600,92700,89300,85700,83700,71300,69200,70500,81800,84800,83500,83200,74400,85400,91700,100100,93100,83600,78100,75600,78900,82300,84800,87500,89300
